season	day	day_in_year	species_type	leave_reason	n
1	590	225	greylag_family	migration	0
1	590	225	greylag_family	body_condition	0
1	590	225	greylag_family	lean_weight	0
1	590	225	greylag_nonbreeder	migration	0
1	590	225	greylag_nonbreeder	body_condition	0
1	590	225	greylag_nonbreeder	lean_weight	0
1	591	226	pinkfoot_family	migration	0
1	591	226	pinkfoot_family	body_condition	0
1	591	226	pinkfoot_family	lean_weight	0
1	591	226	pinkfoot_nonbreeder	migration	0
1	591	226	pinkfoot_nonbreeder	body_condition	0
1	591	226	pinkfoot_nonbreeder	lean_weight	0
1	591	226	barnacle_family	migration	0
1	591	226	barnacle_family	body_condition	0
1	591	226	barnacle_family	lean_weight	0
1	591	226	barnacle_nonbreeder	migration	0
1	591	226	barnacle_nonbreeder	body_condition	0
1	591	226	barnacle_nonbreeder	lean_weight	0
1	591	226	greylag_family	migration	0
1	591	226	greylag_family	body_condition	0
1	591	226	greylag_family	lean_weight	0
1	591	226	greylag_nonbreeder	migration	0
1	591	226	greylag_nonbreeder	body_condition	0
1	591	226	greylag_nonbreeder	lean_weight	0
1	592	227	pinkfoot_family	migration	0
1	592	227	pinkfoot_family	body_condition	0
1	592	227	pinkfoot_family	lean_weight	0
1	592	227	pinkfoot_nonbreeder	migration	0
1	592	227	pinkfoot_nonbreeder	body_condition	0
1	592	227	pinkfoot_nonbreeder	lean_weight	0
1	592	227	barnacle_family	migration	0
1	592	227	barnacle_family	body_condition	0
1	592	227	barnacle_family	lean_weight	0
1	592	227	barnacle_nonbreeder	migration	0
1	592	227	barnacle_nonbreeder	body_condition	0
1	592	227	barnacle_nonbreeder	lean_weight	0
1	592	227	greylag_family	migration	0
1	592	227	greylag_family	body_condition	0
1	592	227	greylag_family	lean_weight	0
1	592	227	greylag_nonbreeder	migration	0
1	592	227	greylag_nonbreeder	body_condition	0
1	592	227	greylag_nonbreeder	lean_weight	0
1	593	228	pinkfoot_family	migration	0
1	593	228	pinkfoot_family	body_condition	0
1	593	228	pinkfoot_family	lean_weight	0
1	593	228	pinkfoot_nonbreeder	migration	0
1	593	228	pinkfoot_nonbreeder	body_condition	0
1	593	228	pinkfoot_nonbreeder	lean_weight	0
1	593	228	barnacle_family	migration	0
1	593	228	barnacle_family	body_condition	0
1	593	228	barnacle_family	lean_weight	0
1	593	228	barnacle_nonbreeder	migration	0
1	593	228	barnacle_nonbreeder	body_condition	0
1	593	228	barnacle_nonbreeder	lean_weight	0
1	593	228	greylag_family	migration	0
1	593	228	greylag_family	body_condition	0
1	593	228	greylag_family	lean_weight	0
1	593	228	greylag_nonbreeder	migration	0
1	593	228	greylag_nonbreeder	body_condition	0
1	593	228	greylag_nonbreeder	lean_weight	0
1	594	229	pinkfoot_family	migration	0
1	594	229	pinkfoot_family	body_condition	0
1	594	229	pinkfoot_family	lean_weight	0
1	594	229	pinkfoot_nonbreeder	migration	0
1	594	229	pinkfoot_nonbreeder	body_condition	0
1	594	229	pinkfoot_nonbreeder	lean_weight	0
1	594	229	barnacle_family	migration	0
1	594	229	barnacle_family	body_condition	0
1	594	229	barnacle_family	lean_weight	0
1	594	229	barnacle_nonbreeder	migration	0
1	594	229	barnacle_nonbreeder	body_condition	0
1	594	229	barnacle_nonbreeder	lean_weight	0
1	594	229	greylag_family	migration	0
1	594	229	greylag_family	body_condition	0
1	594	229	greylag_family	lean_weight	0
1	594	229	greylag_nonbreeder	migration	0
1	594	229	greylag_nonbreeder	body_condition	0
1	594	229	greylag_nonbreeder	lean_weight	0
1	595	230	pinkfoot_family	migration	0
1	595	230	pinkfoot_family	body_condition	0
1	595	230	pinkfoot_family	lean_weight	0
1	595	230	pinkfoot_nonbreeder	migration	0
1	595	230	pinkfoot_nonbreeder	body_condition	0
1	595	230	pinkfoot_nonbreeder	lean_weight	0
1	595	230	barnacle_family	migration	0
1	595	230	barnacle_family	body_condition	0
1	595	230	barnacle_family	lean_weight	0
1	595	230	barnacle_nonbreeder	migration	0
1	595	230	barnacle_nonbreeder	body_condition	0
1	595	230	barnacle_nonbreeder	lean_weight	0
1	595	230	greylag_family	migration	0
1	595	230	greylag_family	body_condition	0
1	595	230	greylag_family	lean_weight	0
1	595	230	greylag_nonbreeder	migration	0
1	595	230	greylag_nonbreeder	body_condition	0
1	595	230	greylag_nonbreeder	lean_weight	0
1	596	231	pinkfoot_family	migration	0
1	596	231	pinkfoot_family	body_condition	0
1	596	231	pinkfoot_family	lean_weight	0
1	596	231	pinkfoot_nonbreeder	migration	0
1	596	231	pinkfoot_nonbreeder	body_condition	0
1	596	231	pinkfoot_nonbreeder	lean_weight	0
1	596	231	barnacle_family	migration	0
1	596	231	barnacle_family	body_condition	0
1	596	231	barnacle_family	lean_weight	0
1	596	231	barnacle_nonbreeder	migration	0
1	596	231	barnacle_nonbreeder	body_condition	0
1	596	231	barnacle_nonbreeder	lean_weight	0
1	596	231	greylag_family	migration	0
1	596	231	greylag_family	body_condition	0
1	596	231	greylag_family	lean_weight	0
1	596	231	greylag_nonbreeder	migration	0
1	596	231	greylag_nonbreeder	body_condition	0
1	596	231	greylag_nonbreeder	lean_weight	0
1	597	232	pinkfoot_family	migration	0
1	597	232	pinkfoot_family	body_condition	0
1	597	232	pinkfoot_family	lean_weight	0
1	597	232	pinkfoot_nonbreeder	migration	0
1	597	232	pinkfoot_nonbreeder	body_condition	0
1	597	232	pinkfoot_nonbreeder	lean_weight	0
1	597	232	barnacle_family	migration	0
1	597	232	barnacle_family	body_condition	0
1	597	232	barnacle_family	lean_weight	0
1	597	232	barnacle_nonbreeder	migration	0
1	597	232	barnacle_nonbreeder	body_condition	0
1	597	232	barnacle_nonbreeder	lean_weight	0
1	597	232	greylag_family	migration	6
1	597	232	greylag_family	body_condition	0
1	597	232	greylag_family	lean_weight	0
1	597	232	greylag_nonbreeder	migration	64
1	597	232	greylag_nonbreeder	body_condition	0
1	597	232	greylag_nonbreeder	lean_weight	0
1	598	233	pinkfoot_family	migration	0
1	598	233	pinkfoot_family	body_condition	0
1	598	233	pinkfoot_family	lean_weight	0
1	598	233	pinkfoot_nonbreeder	migration	0
1	598	233	pinkfoot_nonbreeder	body_condition	0
1	598	233	pinkfoot_nonbreeder	lean_weight	0
1	598	233	barnacle_family	migration	0
1	598	233	barnacle_family	body_condition	0
1	598	233	barnacle_family	lean_weight	0
1	598	233	barnacle_nonbreeder	migration	0
1	598	233	barnacle_nonbreeder	body_condition	0
1	598	233	barnacle_nonbreeder	lean_weight	0
1	598	233	greylag_family	migration	3
1	598	233	greylag_family	body_condition	0
1	598	233	greylag_family	lean_weight	0
