343																		
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
94	0	15	1	1	1	2713	9246	3	87	453	252	NA	NA	NA	NA	NA	NA	NA
95	0	15	1	1	1	2933	2011	5	523	166	382	18	364	NA	NA	NA	NA	NA
96	0	15	1	1	1	33294	6452	1	478	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	0	15	1	1	1	3266	2616	2	478	146	NA	NA	NA	NA	NA	NA	NA	NA
98	0	15	1	1	1	15451	15074	2	241	497	NA	NA	NA	NA	NA	NA	NA	NA
99	0	15	1	1	1	28031	10470	2	180	482	NA	NA	NA	NA	NA	NA	NA	NA
100	0	15	1	1	1	135	5507	2	292	196	NA	NA	NA	NA	NA	NA	NA	NA
101	0	15	1	1	1	1979	13409	1	452	NA	NA	NA	NA	NA	NA	NA	NA	NA
102	0	15	1	1	1	25509	17264	1	85	NA	NA	NA	NA	NA	NA	NA	NA	NA
103	0	15	1	1	1	15354	15603	4	252	90	336	534	NA	NA	NA	NA	NA	NA
104	0	15	1	1	1	26899	12184	2	175	174	NA	NA	NA	NA	NA	NA	NA	NA
105	0	15	1	1	1	11253	6588	5	468	539	301	89	225	NA	NA	NA	NA	NA
106	0	15	1	1	1	31706	15476	1	483	NA	NA	NA	NA	NA	NA	NA	NA	NA
107	0	15	1	1	1	31073	13971	5	490	433	103	519	58	NA	NA	NA	NA	NA
108	0	15	1	1	1	34708	19933	1	472	NA	NA	NA	NA	NA	NA	NA	NA	NA
109	0	15	1	1	1	26513	16800	2	140	413	NA	NA	NA	NA	NA	NA	NA	NA
110	0	15	1	1	1	15192	15887	1	201	NA	NA	NA	NA	NA	NA	NA	NA	NA
111	0	15	1	1	1	6446	9368	3	525	127	344	NA	NA	NA	NA	NA	NA	NA
112	0	15	1	1	1	31173	12409	1	335	NA	NA	NA	NA	NA	NA	NA	NA	NA
113	0	15	1	1	1	19123	18988	5	388	123	98	245	387	NA	NA	NA	NA	NA
114	0	15	1	1	1	5602	6102	3	487	549	190	NA	NA	NA	NA	NA	NA	NA
115	0	15	1	1	1	34884	815	5	333	503	259	116	7	NA	NA	NA	NA	NA
116	0	15	1	1	1	4013	12646	5	276	176	476	207	162	NA	NA	NA	NA	NA
117	0	15	1	1	1	6080	9943	1	349	NA	NA	NA	NA	NA	NA	NA	NA	NA
118	0	15	1	1	1	23850	21020	1	317	NA	NA	NA	NA	NA	NA	NA	NA	NA
119	0	15	1	1	1	34384	9192	3	433	89	243	NA	NA	NA	NA	NA	NA	NA
120	0	15	1	1	1	9730	4825	2	520	469	NA	NA	NA	NA	NA	NA	NA	NA
121	0	15	1	1	1	35995	10662	2	32	363	NA	NA	NA	NA	NA	NA	NA	NA
122	0	15	1	1	1	25512	15719	2	290	76	NA	NA	NA	NA	NA	NA	NA	NA
123	0	15	1	1	1	14199	16516	3	92	88	481	NA	NA	NA	NA	NA	NA	NA
124	0	15	1	1	1	32614	16428	4	356	4	247	348	NA	NA	NA	NA	NA	NA
125	0	15	1	1	1	31455	1844	4	554	126	320	529	NA	NA	NA	NA	NA	NA
126	0	15	1	1	1	6299	9529	3	536	474	84	NA	NA	NA	NA	NA	NA	NA
127	0	15	1	1	1	31118	14174	2	299	262	NA	NA	NA	NA	NA	NA	NA	NA
128	0	15	1	1	1	26886	12992	1	514	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	0	15	1	1	1	6878	9336	3	208	492	458	NA	NA	NA	NA	NA	NA	NA
130	0	15	1	1	1	32278	12524	5	527	171	399	557	127	NA	NA	NA	NA	NA
131	0	15	1	1	1	15444	15831	3	172	407	517	NA	NA	NA	NA	NA	NA	NA
132	0	15	1	1	1	13075	14740	5	300	449	185	371	337	NA	NA	NA	NA	NA
133	0	15	1	1	1	30884	2502	2	294	495	NA	NA	NA	NA	NA	NA	NA	NA
134	0	15	1	1	1	31286	12122	5	101	356	141	551	212	NA	NA	NA	NA	NA
135	0	15	1	1	1	32225	17892	2	488	319	NA	NA	NA	NA	NA	NA	NA	NA
136	0	15	1	1	1	16937	11053	5	339	207	40	57	421	NA	NA	NA	NA	NA
137	0	15	1	1	1	3331	2136	3	494	188	432	NA	NA	NA	NA	NA	NA	NA
138	0	15	1	1	1	30313	16150	5	68	87	144	430	318	NA	NA	NA	NA	NA
139	0	15	1	1	1	27899	10687	3	138	100	312	NA	NA	NA	NA	NA	NA	NA
140	0	15	1	1	1	25909	16721	3	549	57	197	NA	NA	NA	NA	NA	NA	NA
141	0	15	1	1	1	35766	14475	1	25	NA	NA	NA	NA	NA	NA	NA	NA	NA
142	0	15	1	1	1	1890	7061	1	82	NA	NA	NA	NA	NA	NA	NA	NA	NA
143	0	15	1	1	1	899	4288	1	160	NA	NA	NA	NA	NA	NA	NA	NA	NA
144	0	15	1	1	1	13871	11075	2	526	210	NA	NA	NA	NA	NA	NA	NA	NA
145	0	15	1	1	1	16936	17224	1	296	NA	NA	NA	NA	NA	NA	NA	NA	NA
146	0	15	1	1	1	31635	2387	3	145	531	187	NA	NA	NA	NA	NA	NA	NA
147	0	15	1	1	1	16299	9171	4	529	34	346	360	NA	NA	NA	NA	NA	NA
148	0	15	1	1	1	23716	21032	2	403	134	NA	NA	NA	NA	NA	NA	NA	NA
149	0	15	1	1	1	13416	9166	2	254	63	NA	NA	NA	NA	NA	NA	NA	NA
150	0	15	1	1	1	6143	9877	2	521	308	NA	NA	NA	NA	NA	NA	NA	NA
151	0	15	1	1	1	15761	17985	3	213	135	355	NA	NA	NA	NA	NA	NA	NA
152	0	15	1	1	1	18573	10324	2	61	426	NA	NA	NA	NA	NA	NA	NA	NA
