FarmRef	FarmCentroidX	FarmCentroidY	FarmType	FarmSize	FarmArableSize	NoFields	NoOpenFields	AreaOpenFields	NoHunters
377	218	9697	33	58997	58997	5	5	58997	1
378	4919	16788	32	1697896	1548793	68	47	1669087	0
379	32335	21832	35	30052	8596	2	2	30052	2
380	2564	18700	35	167225	167225	6	6	167225	0
381	34059	19921	34	630838	630838	11	9	630809	1
382	35298	4780	43	25457	0	1	1	25457	1
383	20929	7107	33	1571564	1472731	50	41	1562020	0
384	31422	9531	34	997957	990229	23	21	933749	0
385	35739	18362	34	303403	269652	35	9	274182	3
386	23467	5596	33	2106865	1771317	70	56	2063628	1
387	33106	15931	35	92845	83044	14	3	70669	2
388	30015	5905	33	228332	0	6	6	228332	2
389	13971	13216	35	46368	46368	3	2	44521	1
390	23580	12506	35	70041	28225	6	5	69941	1
391	1072	21781	35	97723	97723	3	1	97705	1
392	23801	9221	34	3988523	3834140	188	142	3908146	1
393	31454	10091	33	1496546	1277215	69	59	1431356	1
394	3151	21164	35	136454	83210	9	5	108756	0
395	35734	9088	43	1232	1232	28	0	0	3
396	10321	22342	35	100051	0	12	9	81539	1
397	16560	15214	35	71193	0	10	10	71193	3
398	13603	8227	35	130061	106088	15	5	124431	0
399	740	12716	33	273207	273207	8	6	249369	2
400	4256	11470	35	38619	0	5	2	18486	2
401	26630	3460	34	52857	52857	1	1	52857	1
402	466	23325	34	203452	203452	8	2	196699	2
403	30056	5634	36	182105	163838	19	15	152261	3
404	31118	11716	34	284965	282576	18	8	284859	3
405	33592	22972	35	107664	31591	12	2	26293	0
406	19052	5149	34	251065	188926	19	17	231361	0
407	17238	7383	33	269659	239766	18	14	236420	3
408	6028	13808	35	45607	41446	6	2	31238	1
409	16633	5565	35	23081	10950	4	4	23081	0
410	9915	7678	48	213551	0	11	11	213551	1
411	32096	11229	41	794241	709509	31	25	781511	2
412	32125	13999	34	681818	643881	15	11	643881	2
413	27497	13586	33	3545095	3535774	148	111	3411306	2
414	31468	12693	33	751942	548354	64	44	670163	3
415	25713	14582	33	14089	0	14	12	14081	0
416	35864	11738	34	120807	120807	3	3	120807	1
417	35292	8001	33	705042	694120	22	20	692529	2
418	33804	14698	35	28803	28803	1	1	28803	1
419	35854	2397	33	38601	0	4	1	26489	1
420	30625	7546	35	88666	49602	11	5	41281	2
421	17184	11332	35	82861	0	11	11	82861	1
422	31738	11194	34	278966	278966	13	8	267605	1
423	1335	13934	33	46041	0	1	0	0	3
424	19139	3770	33	375408	0	35	22	373068	3
425	32169	13899	33	4079592	4077229	90	81	3947051	2
426	34915	21068	41	94105	94105	4	3	84334	2
427	29085	11150	33	355960	355960	12	10	347117	1
428	1396	7646	33	352276	0	17	15	351995	1
429	16082	8090	33	614886	516480	37	31	605581	0
430	31731	17689	36	1475591	1085414	123	80	1455148	1
431	34976	18797	34	680476	670007	16	13	661653	0
432	19339	13250	32	2978987	2578787	229	99	2935096	4
433	3639	19180	33	2761495	2633975	118	79	2745459	3
434	119	21640	35	44137	44137	3	2	40603	2
