FarmRef	FarmCentroidX	FarmCentroidY	FarmType	FarmSize	FarmArableSize	NoFields	NoOpenFields	AreaOpenFields	NoHunters
544	33538	23186	35	72794	59199	15	3	68137	1
545	19350	4669	33	274723	195775	32	28	257042	1
546	34224	7533	32	2563114	2440173	93	56	2289751	1
547	34113	10943	33	127135	126573	9	9	127135	1
548	84	15751	35	4668	4668	3	2	4667	0
549	16239	9596	35	128201	116097	9	5	100318	4
550	12123	15290	33	120481	120481	11	11	120481	1
551	35054	21055	35	165732	165732	6	3	133854	3
552	32691	11466	34	508003	333784	15	10	333784	1
553	21647	6405	33	61870	61870	6	5	60557	0
554	26400	6997	35	60292	34328	15	13	52086	4
555	29458	14215	35	77290	77290	8	3	68290	4
556	34259	9732	34	324625	308398	19	10	292428	2
557	33807	5682	33	330398	135829	22	21	330397	2
