Polyref	CX	CY	Type	Area	Country Designation
31212	7372	5943	53	109	-1
31213	8864	5938	52	1	-1
31214	4590	5940	52	2	-1
31215	5315	5939	11	2	-1
31216	5972	5939	57	1	-1
31217	7018	5940	57	2	-1
31218	4669	5949	57	275	-1
31219	5319	5940	11	3	-1
31220	5364	5942	1	4	-1
31221	5732	5942	1	4	-1
31222	8576	5941	1	3	-1
31223	8869	5940	52	1	-1
31224	1603	5942	12	2	-1
31225	3931	5955	1	589	-1
31226	5323	5941	11	3	-1
31227	1283	5964	12	261	-1
31228	1231	5945	57	32	-1
31229	4174	5970	20	818	-1
31230	4279	5942	38	1	-1
31231	4591	5942	52	1	-1
31232	5971	5942	57	1	-1
31233	6417	5942	57	1	-1
31234	7231	5968	26	845	-1
31235	8874	5942	52	1	-1
31236	4281	5943	38	1	-1
31237	5354	5944	17	12	3
31238	6862	5944	57	3	-1
31239	1238	5951	52	62	-1
31240	3940	5951	24	152	0
31241	4283	5944	38	1	-1
31242	7017	5944	57	1	-1
31243	8569	5944	1	1	-1
31244	8575	5945	1	3	-1
31245	8879	5944	52	1	-1
31246	1237	5977	0	300	-1
31247	1216	5945	12	2	-1
31248	1581	5966	12	159	-1
31249	3874	5923	0	365	-1
31250	3947	5945	0	1	-1
31251	3953	5948	24	43	0
31252	4285	5945	38	1	-1
31253	4593	5945	52	1	-1
31254	5363	5947	1	4	-1
31255	5731	5947	1	4	-1
31256	1220	5946	12	1	-1
31257	2859	5946	4	1	-1
31258	3933	5949	20	6	-1
31259	3972	5950	24	128	0
31260	3976	5946	20	2	-1
31261	4127	5952	24	82	0
31262	4167	5950	1	8	-1
31263	5970	5946	57	1	-1
31264	8918	6039	57	25174	-1
31265	8884	5946	52	1	-1
31266	1223	5947	12	2	-1
31267	3865	5948	1	5	-1
31268	3952	5957	20	478	-1
31269	3974	5963	20	305	-1
31270	4171	5959	24	266	0
31271	4595	5948	52	2	-1
31272	6624	5961	20	497	-1
31273	6719	5954	57	19	-1
31274	1226	5948	12	2	-1
31275	2854	5959	4	37	-1
31276	3529	5955	44	193	-1
31277	3929	5949	20	2	-1
31278	3982	5959	0	20	-1
31279	3997	5952	24	35	0
31280	4290	5948	38	1	-1
31281	6861	5950	57	4	-1
31282	8499	5948	1	2	-1
31283	8521	5948	1	2	-1
31284	8568	5948	1	1	-1
31285	8574	5949	1	3	-1
31286	8889	5948	52	1	-1
31287	1230	5949	12	1	-1
