season	day	species	foraging_time	foraging_time_se	flight_distance	flight_distance_se	daily_energy_budget	daily_energy_budget_se	daily_energy_balance	daily_energy_balance_se	day_length	foraging_time_sd	flight_distance_sd	daily_energy_budget_sd	daily_energy_balance_sd
1	617	greylag	563.019	1.9747	21078.6	134.103	1338	0	838.378	2.24942	785	152.794	10376.3	0	174.05
1	618	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	780	-1	-1	-1	-1
1	618	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	780	-1	-1	-1	-1
1	618	greylag	554.936	2.04467	20799.3	135.862	1336	0	842.665	2.20526	780	157.492	10464.9	0	169.863
1	619	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	775	-1	-1	-1	-1
1	619	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	775	-1	-1	-1	-1
1	619	greylag	550.929	2.06489	21508	138.934	1334	0	841.36	2.26817	775	158.311	10651.8	0	173.897
1	620	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	771	-1	-1	-1	-1
1	620	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	771	-1	-1	-1	-1
1	620	greylag	542.749	2.11682	20960.1	139.289	1331	0	848.406	2.23743	771	161.712	10640.8	0	170.926
1	621	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	766	-1	-1	-1	-1
1	621	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	766	-1	-1	-1	-1
1	621	greylag	548.938	2.06825	20918.6	136.426	1329	0	844.1	2.34973	766	157.296	10375.5	0	178.703
1	622	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	762	-1	-1	-1	-1
1	622	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	762	-1	-1	-1	-1
1	622	greylag	549.562	2.03529	21604.3	137.486	1327	0	839.318	2.44421	762	154.172	10414.5	0	185.148
1	623	pinkfoot	0	0	0	0	1143	0	-1143	0	757	0	0	0	0
1	623	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	757	-1	-1	-1	-1
1	623	greylag	545.733	2.10769	21520.6	140.931	1325	0	839.19	2.52822	757	158.932	10627	0	190.642
1	624	pinkfoot	204.183	6.08825	13062.7	426.69	1142	0.0274306	-170.621	26.7113	752	222.033	15561	1.00037	974.139
1	624	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	752	-1	-1	-1	-1
1	624	greylag	537.747	2.05241	22541.7	141.32	1323	0	843.053	2.36787	752	153.999	10603.7	0	177.669
1	625	pinkfoot	262.414	4.73558	12257.7	305.651	1140.66	0.0105725	164.123	20.7579	748	211.516	13652	0.472227	927.159
1	625	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	748	-1	-1	-1	-1
1	625	greylag	524.906	2.10023	21314	143.056	1321	0	859.63	2.11929	748	156.928	10689.1	0	158.352
1	626	pinkfoot	239.142	4.07602	18955.4	291.296	1139.49	0.016851	336.305	16.665	743	210.301	15029.3	0.869418	859.823
1	626	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	743	-1	-1	-1	-1
1	626	greylag	516.153	2.13898	21888.1	146.522	1319	0	860.289	2.14107	743	159.221	10906.8	0	159.377
1	627	pinkfoot	329.011	3.45024	20474.5	262.703	1137.6	0.0139299	418.785	13.5859	738	198.891	15143.6	0.802995	783.167
1	627	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	738	-1	-1	-1	-1
1	627	greylag	513.738	2.11464	22642.8	141.803	1317	0	861.028	2.13854	738	156.811	10515.5	0	158.584
1	628	pinkfoot	174.402	2.19573	20994.6	228.208	1135.66	0.0118413	526.662	11.8571	734	138.575	14402.4	0.747316	748.313
1	628	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	734	-1	-1	-1	-1
1	628	greylag	512.705	2.11165	22525.9	145.788	1314	0	859.519	2.22801	734	156.063	10774.5	0	164.662
1	629	pinkfoot	138.86	1.01821	21166.7	202.582	1159.71	0.0103224	557.125	10.3943	729	69.4474	13817.2	0.704043	708.95
1	629	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	729	-1	-1	-1	-1
1	629	greylag	511.824	2.12693	21385.4	139.873	1309	0	867.969	2.22399	729	156.325	10280.4	0	163.459
1	630	pinkfoot	268.714	2.66985	21590	193.065	1156.87	0.00458765	561.089	9.09247	725	194.844	14089.8	0.334804	663.564
1	630	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	725	-1	-1	-1	-1
1	630	greylag	509.057	2.13235	22584.8	148.353	1305	0	863.874	2.35951	725	155.88	10845	0	172.487
1	631	pinkfoot	206.034	1.96145	22994.3	180.912	1152.77	0.00819411	611.52	8.18765	720	151.693	13991.2	0.633707	633.208
1	631	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	720	-1	-1	-1	-1
1	631	greylag	507.709	2.10265	23388.8	148.107	1301	0	869.2	2.26003	720	153.22	10792.5	0	164.688
1	632	pinkfoot	364.121	2.32889	17088.8	154.358	1148.79	0.00744215	610.061	7.31212	715	189.901	12586.5	0.606843	596.241
1	632	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	715	-1	-1	-1	-1
1	632	greylag	501.226	2.14114	23445.5	144.726	1297	0	865.986	2.42613	715	155.406	10504.3	0	176.091
1	633	pinkfoot	516.564	2.60933	17195.3	142.013	1146.91	0.00341009	471.787	6.88804	711	223.201	12147.7	0.291697	589.199
1	633	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	711	-1	-1	-1	-1
1	633	greylag	508.257	2.08059	22485.4	150.747	1294	0	868.132	2.48947	711	150.293	10889.3	0	179.828
1	634	pinkfoot	412.812	1.98353	15648	120.058	1145.83	0.00627357	639.732	6.14367	706	177.168	10723.5	0.560353	548.75
1	634	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	706	-1	-1	-1	-1
1	634	greylag	505.81	2.05686	22699.7	146.979	1293	0	871.447	2.42452	706	147.865	10566.1	0	174.296
1	635	pinkfoot	409.402	1.85726	23473.3	167.101	1143.84	0.00584195	636.389	5.69446	701	172.735	15541.3	0.543333	529.616
1	635	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	701	-1	-1	-1	-1
1	635	greylag	491.484	2.13595	22918.9	149.928	1290	0	875.272	2.51381	701	153	10739.5	0	180.067
1	636	pinkfoot	437.288	1.81973	18377.8	127.406	1141.85	0.00540913	652.777	5.28801	697	175.507	12287.9	0.521694	510.012
1	636	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	697	-1	-1	-1	-1
1	636	greylag	498.573	2.15491	22905.7	147.76	1288	0	866.644	2.68656	697	153.665	10536.7	0	191.576
1	637	pinkfoot	422.064	1.70372	16236.2	118.628	1139.86	0.00509469	666.401	4.9966	692	170.168	11848.6	0.508857	499.06
1	637	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	692	-1	-1	-1	-1
1	637	greylag	499.7	2.08553	22184.3	150.151	1286	0	866.569	2.77899	692	147.926	10650.2	0	197.112
1	638	pinkfoot	402.971	1.56972	16397.4	114.971	1137.87	0.00480489	682.988	4.72242	687	161.955	11862.1	0.495742	487.233
1	638	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	687	-1	-1	-1	-1
1	638	greylag	504.683	2.04917	23420.9	156.038	1284	0	861.789	2.78894	687	144.869	11031.3	0	197.168
1	639	pinkfoot	452.707	1.24761	22694.1	133.023	1135.99	0.000993754	791.003	1.23116	683	128.667	13718.8	0.102487	126.971
1	639	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	683	-1	-1	-1	-1
1	639	greylag	504.605	2.05624	22013.5	155.162	1282	0	859.136	3.0177	683	144.786	10925.4	0	212.486
1	640	pinkfoot	443.438	1.25259	30533.9	134.608	1133.99	0.00111156	782.52	1.2999	678	127.247	13674.4	0.11292	132.053
1	640	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	678	-1	-1	-1	-1
1	640	greylag	508.934	2.00079	22434.2	150.627	1280	0	855.545	3.06795	678	140.284	10561.1	0	215.107
1	641	pinkfoot	428.528	1.26894	17497.5	119.243	1131.99	0.00108983	807.244	1.30607	673	127.128	11946.4	0.109184	130.848
1	641	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	673	-1	-1	-1	-1
1	641	greylag	510.096	1.97917	22207.3	148.983	1277	0	846.115	3.22844	673	138.16	10400.1	0	225.367
1	642	pinkfoot	453.888	1.29528	22811.7	145.804	1112.99	0.00135711	803.407	1.62749	669	127.925	14400	0.134031	160.734
1	642	barnacle	0	0	0	0	919	0	-919	0	669	0	0	0	0
1	642	greylag	513.125	1.95312	21958.5	151.666	1275	0	845.787	3.36164	669	135.682	10536.1	0	233.531
1	643	pinkfoot	428.698	1.32836	14232.9	95.2877	1142.99	0.00117253	799.17	1.3902	664	129.35	9278.7	0.114175	135.371
1	643	barnacle	302.785	15.3865	8686.43	599.22	949	0.0500626	-273.763	35.2931	664	307.731	11984.4	1.00125	705.863
