season	day	day_in_year	species	n_forage_locs	n_forage_locs_se	n	n_forage_locs_sd
1	663	298	barnacle	0.962577	0.00316259	5184	0.227707
1	663	298	greylag	1.00935	0.00138681	4815	0.0962308
1	664	299	pinkfoot	0.99767	0.00110357	6009	0.0855461
1	664	299	barnacle	1.02431	0.00215637	5184	0.155259
1	664	299	greylag	1.0207	0.00205883	4783	0.142387
1	665	300	pinkfoot	0.997945	0.000802909	5839	0.061353
1	665	300	barnacle	1.0353	0.00263489	5184	0.189712
1	665	300	greylag	1.04314	0.00294761	4752	0.203193
1	666	301	pinkfoot	1.00053	0.000886261	5642	0.0665699
1	666	301	barnacle	1.06674	0.00346669	5184	0.249602
1	666	301	greylag	1.03419	0.00264836	4709	0.181736
1	667	302	pinkfoot	0.996536	0.000793389	5485	0.058759
1	667	302	barnacle	1.02951	0.00238226	5184	0.171523
1	667	302	greylag	1.01198	0.00159194	4673	0.108824
1	668	303	pinkfoot	0.998309	0.000727567	5321	0.0530725
1	668	303	barnacle	1.02334	0.00211488	5184	0.152271
1	668	303	greylag	1.02266	0.00218676	4633	0.148844
1	669	304	pinkfoot	0.994205	0.00105502	5177	0.0759104
1	669	304	barnacle	1.02296	0.00213321	5184	0.153591
1	669	304	greylag	1.01286	0.0016632	4589	0.112669
1	670	305	pinkfoot	0.996386	0.00085031	4981	0.0600116
1	670	305	barnacle	1.02141	0.00202908	5184	0.146094
1	670	305	greylag	1.01779	0.0019597	4552	0.132218
1	671	306	pinkfoot	0.998794	0.000804081	4974	0.0567091
1	671	306	barnacle	1.0515	0.00307008	5184	0.221046
1	671	306	greylag	1.02299	0.00222888	4523	0.149899
1	672	307	pinkfoot	0.997589	0.000851679	4978	0.0600901
1	672	307	barnacle	1.02373	0.00211405	5184	0.152212
1	672	307	greylag	1.02881	0.00249984	4478	0.167284
1	673	308	pinkfoot	0.997789	0.000666122	4974	0.0469793
1	673	308	barnacle	1.02527	0.00234451	5184	0.168805
1	673	308	greylag	1.03809	0.00287389	4437	0.191432
1	674	309	pinkfoot	1.00161	0.00136186	4980	0.0961053
1	674	309	barnacle	1.06057	0.0033134	5184	0.238565
1	674	309	greylag	1.04568	0.00314805	4400	0.208818
1	675	310	pinkfoot	0.995585	0.000939298	4983	0.0663054
1	675	310	barnacle	1.08256	0.00410454	5184	0.295527
1	675	310	greylag	1.03708	0.00285904	4369	0.188978
1	676	311	pinkfoot	1.00321	0.00150213	4980	0.106004
1	676	311	barnacle	1.05691	0.00321785	5184	0.231685
1	676	311	greylag	1.03089	0.00262724	4338	0.173039
1	677	312	pinkfoot	0.998793	0.000899211	4973	0.0634119
1	677	312	barnacle	1.12731	0.00488042	5184	0.35139
1	677	312	greylag	1.02783	0.00250515	4312	0.164503
1	678	313	pinkfoot	0.999196	0.000943202	4973	0.0665141
1	678	313	barnacle	1.03549	0.00261311	5184	0.188144
1	678	313	greylag	1.0412	0.00304117	4272	0.198772
1	679	314	pinkfoot	0.998994	0.000667512	4968	0.0470489
1	679	314	barnacle	1.02623	0.00228618	5184	0.164605
1	679	314	greylag	1.04663	0.00323619	4246	0.210874
1	680	315	pinkfoot	0.998594	0.00111818	4979	0.0789014
1	680	315	barnacle	1.09298	0.00404297	5184	0.291094
1	680	315	greylag	1.04975	0.00334707	4221	0.217456
1	681	316	pinkfoot	0.998794	0.000942547	4976	0.066488
1	681	316	barnacle	1.05343	0.00324082	5184	0.233339
1	681	316	greylag	1.04473	0.0031971	4181	0.206727
1	682	317	pinkfoot	1.0002	0.00104455	4975	0.0736762
1	682	317	barnacle	1.04938	0.00304641	5184	0.219342
1	682	317	greylag	1.06264	0.00376132	4151	0.242335
1	683	318	pinkfoot	0.993791	0.00111176	4993	0.0785581
1	683	318	barnacle	1.01331	0.00159181	5184	0.11461
1	683	318	greylag	1.03558	0.00288194	4132	0.185253
1	684	319	pinkfoot	0.998793	0.000492706	4969	0.0347314
1	684	319	barnacle	1.05085	0.00306114	5152	0.219721
1	684	319	greylag	1.04772	0.00332688	4107	0.213206
1	685	320	pinkfoot	0.994589	0.0010386	4990	0.0733664
1	685	320	barnacle	1.18088	0.0057406	5114	0.410523
1	685	320	greylag	1.064	0.00383322	4078	0.244786
1	686	321	pinkfoot	0.998593	0.00096407	4974	0.0679926
1	686	321	barnacle	1.11251	0.00450148	5084	0.320965
1	686	321	greylag	1.12071	0.0051312	4051	0.326588
1	687	322	pinkfoot	0.997185	0.00075141	4973	0.0529891
1	687	322	barnacle	1.0572	0.00327303	5035	0.232247
1	687	322	greylag	1.09217	0.00456012	4025	0.289307
1	688	323	pinkfoot	0.996994	0.00137336	4990	0.0970139
1	688	323	barnacle	1.09851	0.00429231	4974	0.302722
1	688	323	greylag	1.09303	0.00460027	3988	0.29051
