746 
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
159	0	9	1	0.071	0.5	27323	11084	1	199	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	0	60	1	0.143	0.5	17494	13152	2	441	508	NA	NA	NA	NA	NA	NA	NA	NA
161	0	5	0	0.071	0.5	15032	7835	3	17	503	148	NA	NA	NA	NA	NA	NA	NA
162	0	25	1	0.071	0.5	32704	7231	2	320	21	NA	NA	NA	NA	NA	NA	NA	NA
163	0	44	1	0.071	0.5	15554	10359	1	198	NA	NA	NA	NA	NA	NA	NA	NA	NA
164	0	5	0	0.429	0.5	32313	8676	4	184	384	6	21	NA	NA	NA	NA	NA	NA
165	0	17	1	0.429	0.5	14246	7494	1	196	NA	NA	NA	NA	NA	NA	NA	NA	NA
166	0	11	1	1	0.5	25580	8250	1	238	NA	NA	NA	NA	NA	NA	NA	NA	NA
167	0	9	1	1	0.5	30314	7843	5	312	524	34	484	546	NA	NA	NA	NA	NA
168	0	17	1	0.143	0.5	28373	11048	3	348	122	45	NA	NA	NA	NA	NA	NA	NA
169	0	5	1	0.143	0.5	35006	12951	5	483	311	464	421	410	NA	NA	NA	NA	NA
170	0	5	1	1	0.5	13416	14826	3	552	255	28	NA	NA	NA	NA	NA	NA	NA
171	0	23	1	0.429	0.5	13083	14867	2	129	47	NA	NA	NA	NA	NA	NA	NA	NA
172	0	55	1	1	0.5	26785	11920	2	245	451	NA	NA	NA	NA	NA	NA	NA	NA
173	0	2	1	0.143	0.5	5982	14665	3	31	186	154	NA	NA	NA	NA	NA	NA	NA
174	0	32	1	0.429	0.5	13280	9717	2	525	123	NA	NA	NA	NA	NA	NA	NA	NA
175	0	5	1	0.143	0.5	13871	12918	3	272	397	506	NA	NA	NA	NA	NA	NA	NA
176	0	44	1	0.143	0.5	5064	13859	1	460	NA	NA	NA	NA	NA	NA	NA	NA	NA
177	0	17	1	0.071	0.5	30975	7616	3	182	396	411	NA	NA	NA	NA	NA	NA	NA
178	0	13	1	0.429	0.5	177	18200	2	67	390	NA	NA	NA	NA	NA	NA	NA	NA
179	0	13	1	0.071	0.5	-25971	43664	1	540	NA	NA	NA	NA	NA	NA	NA	NA	NA
180	0	30	1	0.429	0.5	71127	11859	3	506	534	86	NA	NA	NA	NA	NA	NA	NA
181	0	3	0	1	0.5	74096	13236	1	442	NA	NA	NA	NA	NA	NA	NA	NA	NA
182	0	25	1	0.071	0.5	62348	-26457	3	6	169	247	NA	NA	NA	NA	NA	NA	NA
183	0	19	1	0.143	0.5	-20061	31455	5	247	254	469	112	198	NA	NA	NA	NA	NA
184	0	15	1	0	0.5	-20174	40325	5	68	514	184	166	229	NA	NA	NA	NA	NA
185	0	8	1	0.143	0.5	-24722	39425	1	31	NA	NA	NA	NA	NA	NA	NA	NA	NA
186	0	19	1	0.143	0.5	67709	4286	2	259	417	NA	NA	NA	NA	NA	NA	NA	NA
187	0	9	1	0.429	0.5	58049	10225	3	72	541	412	NA	NA	NA	NA	NA	NA	NA
188	0	6	1	0.429	0.5	-20426	45070	2	51	100	NA	NA	NA	NA	NA	NA	NA	NA
189	0	13	0	0.071	0.5	57896	-7	3	362	319	367	NA	NA	NA	NA	NA	NA	NA
190	0	2	1	0.071	0.5	2398	45019	1	288	NA	NA	NA	NA	NA	NA	NA	NA	NA
191	0	11	1	1	0.5	69480	16600	2	160	292	NA	NA	NA	NA	NA	NA	NA	NA
192	0	11	1	0.071	0.5	56105	-7742	2	208	471	NA	NA	NA	NA	NA	NA	NA	NA
193	0	1	0	0.143	0.5	17311	63744	3	2	175	27	NA	NA	NA	NA	NA	NA	NA
194	0	30	1	1	0.5	57910	10305	3	436	441	415	NA	NA	NA	NA	NA	NA	NA
195	0	21	0	0.071	0.5	68571	604	2	464	368	NA	NA	NA	NA	NA	NA	NA	NA
196	0	6	0	1	0.5	-19684	45749	1	51	NA	NA	NA	NA	NA	NA	NA	NA	NA
197	0	20	1	0.429	0.5	71338	5071	2	311	428	NA	NA	NA	NA	NA	NA	NA	NA
198	0	23	0	0.071	0.5	57006	851	1	68	NA	NA	NA	NA	NA	NA	NA	NA	NA
199	0	9	1	0.071	0.5	-10152	61154	2	437	274	NA	NA	NA	NA	NA	NA	NA	NA
200	0	12	0	1	0.5	59103	-16139	2	369	216	NA	NA	NA	NA	NA	NA	NA	NA
201	0	35	1	0.429	0.5	-22866	26646	2	166	213	NA	NA	NA	NA	NA	NA	NA	NA
202	0	12	1	0.143	0.5	-26985	37882	2	235	198	NA	NA	NA	NA	NA	NA	NA	NA
203	0	12	0	0.429	0.5	56711	-2682	5	182	348	234	105	546	NA	NA	NA	NA	NA
204	0	6	0	0.429	0.5	59864	196	2	557	106	NA	NA	NA	NA	NA	NA	NA	NA
205	0	5	0	0	0.5	71711	12420	3	305	115	259	NA	NA	NA	NA	NA	NA	NA
